POI_NAME,POI_TYPE
Kingspan Benchmark,Retail
Congregation Tifereth Israel,Public Places
Marathon,Retail
Pj's Wholesale,Industrial
Community Garden,Public Places
The Church of Jesus Christ of Latter,Public Places
KFC,Retail
Swift Tax Refunds,Retail
Salley's Market,Retail
Dawsons Childcare,Education
Anna's Greek Cuisine,Retail
Alana's Food and Wine,Retail
Blackburn Community Center,Public Places
E P Ferris & Associates,Retail
Gateway Academy of Ohio,Education
S.A.T.  Landscape Services,Retail
Carmine Pacchino,Office
Salem Baptist Church,Public Places
Closed Loop,Office
U,Retail
Spot Auto Repair Shop,Retail
Havic Electric Co,Retail
Goodwill Baptist Church,Public Places
Techwin Computers,Retail
Planned Parenthood East Columbus,Medical
Planes Incorporation,Industrial
Mee Maws House of Learning,Education
The Landscape Group,Retail
Ripley Animal Clinic,Medical
Worly Plumbing Supply,Retail
Sherwin,Retail
Performance Employment Services,Retail
Brother's Auto Repair,Retail
Ohio Department of Health,Government
Somali Bravanese Community Center,Public Places
Marble Cliff Oil Company,Industrial
Walmart Supercenter,Retail
Daifuku America Corporation,Retail
E Main St & Zettler St Lot,Transportation
Discout Furniture Store,Retail
M & S Carry Out,Retail
Fairfield Inn & Suites,Retail
Columbus City Schools Frebis Bus Compound,Education
Schreiner Ace Hardware,Retail
Hydro Innovations Nurseries & Gardening,Retail
Dublin Road Water Plant ,Industrial
Mid,Retail
Goodwill,Retail
W F Bolin Co,Industrial
Pixi Media Services,Office
Visitor Parking,Transportation
Minamyer Residential Care Services,Group Quarters
Phinney Industrial Sheet Metal,Industrial
Douglas Fine Catering,Retail
Jim Hughes Roofing & Gutters,Retail
Penn Station,Retail
Double Z Construction Co,Retail
Enarson Classroom Building,Education
African Hair Braiding Salon,Retail
The B.B. Bradley Co.,Office
Ohio Health Primary Care,Medical
Ideal MotorCars,Retail
Newark Parcel Service Co,Transportation
Shear Creations,Retail
Ohio Auto Loan Services,Retail
Layla's Indian Cuisine,Retail
The Big Bar & Grill,Retail
McAtee,Office
Americana Nail Company,Retail
Optimum System Products,Office
Sanfillipo's Produce Company,Retail
Marco's Pizza,Retail
International Food & Trading,Office
Walgreens,Retail
Rose Hillyard,Retail
Ecommerce Corporation,Office
Coin Laundry,Retail
Chumley's,Retail
Red Head Hot Rods Custom Car,Retail
Eastland Towing,Retail
Alvis House,Office
Rosedale Mennonite Missions & International Center,Office
Game Stop,Retail
Active Edge Chiropractic,Medical
Columbus Fire Station 31,Emergency Response
Corona's Italian Ice,Retail
China Dynasty,Retail
State Automobile Mutual Insurance Company,Office
R.E.M. Communications,Retail
Pengwyn,Industrial
Lindsay Gallery,Retail
Mattress Mart,Retail
Computer Site Columbus,Office
Lang Stone Co,Retail
Allstate Insurance,Office
Cafe Nazionale,Retail
Del Monte Fresh Produce Co,Industrial
Super 8 Motel,Retail
McDonald's,Retail
Culligan Water Conditioning,Retail
John Egan MSSW,Medical
Iron Equipment Rental,Retail
COTA Park & Ride ,Transportation
bd's Mongolian Grill,Retail
Materials Science International,Industrial
COTA Park & Ride ,Transportation
R&J Solutions,Office
Grandview Carry Out,Retail
CVS,Retail
Faith Hope Love Ministry,Public Places
Cockins Hall,Education
Hot Tips Nail & Spa,Retail
Quality Installations,Retail
Sawmill Dental Ceramics,Medical
Merry Insurance and Tax Agency,Retail
Mr Roberts Cuts,Retail
Franklin County Coroner's Office,Government
Miller Van Order Interior Design,Office
O'Reilly Auto Parts,Retail
Pies & Pints,Retail
Hudson Street Pizza,Retail
"Dr. Charles Vonder Embse, DO",Medical
Gold Medal Products,Office
Aronoff Laboratory,Education
Nifco America Corporation,Industrial
Container Sales or Service,Retail
Hararu Hibachi & Sushi,Retail
Columbus Fire Training Academy,Emergency Response
Cottage Inn Pizza,Retail
Hounddog's Three Degree Pizza,Retail
Firestone Complete Auto Care,Retail
Columbus & Suburban,Retail
All American Plumbing,Retail
Di Pictro Tire Center,Retail
Ohio Auto Kolor,Retail
All That Hair,Retail
Club Dry Dock,Medical
Valentino's Car Care,Retail
Skyline International,Office
Musco Sports Lighting,Retail
Animal Medical & Emergency Hospital,Medical
Pick Programmers Shop,Office
Ricky Ralph R Lodge 14th Masonic District,Office
Hubbard Grille,Retail
Boulevard Bar and Grill,Retail
Chopper Shots Aerial Photography,Retail
Applebee's,Retail
Keystone Automotive Industries,Retail
Intertek,Office
260 N 4th St Lot,Transportation
Heinzerling Memorial Foundation,Group Quarters
Olde Sawmill Elementary School,Education
Central City Auto Parts,Retail
Greater Columbus Convention Center,Public Places
Roosters,Retail
Galloway Ridge Intermediate School,Education
BioScrip Pharmacy Services,Medical
Tim Hortons,Retail
Kinnear Lot,Transportation
Burger King,Retail
Town & Country Travel,Retail
Baskets by Bonnie,Retail
Geer Gas,Retail
Beatty Community Center,Public Places
Raphael Health Care,Medical
"Warner & Harper, CPAs",Office
Beauty Connection,Retail
Sunrise Family Healthcare Home Care Services,Medical
Acupuncture & Wellness of Merion Village,Medical
Central Community House,Office
Learning Never Ends,Office
Tim Hortons,Retail
Algie Composites,Office
Hamilton Hall,Education
ODOT Office of Aviation,Government
Cook's Appliances,Retail
Shanes Gourmet Catering,Retail
Maximation,Industrial
Jeri L Jones CPA,Office
Associated General Contractors,Retail
Columbus Logistics Center,Industrial
Safari Auto Sales & Services,Retail
Advanced Warehouse Solutions,Industrial
Dabble & Stitch Fabric Store,Retail
RF Works Manufacturer,Industrial
Sicilia Fine Italian Specialties,Retail
American Legion Post 532,Public Places
Hudson Meat Company,Retail
Higher Life Christian Center,Public Places
Frisch's Big Boy,Retail
Yoon's Beauty Salon,Retail
Schiff Lot,Transportation
Schoenbaum Family Center,Education
Huntington Bank,Office
Hickory Garage,Transportation
D P Miller Trucking,Transportation
Lee Avenue United Methodist Church,Public Places
Columbus Fish Market,Retail
Main Street Chiropractic,Medical
Sofyano,Retail
Sam's House Market,Retail
Cleveland Avenue Booster Station,Industrial
Octapharma Plasma,Medical
Select Specialty Hospital,Medical
Kokosing Construction Company,Office
T,Office
Veritas Community Church,Public Places
Sam's Carryout,Retail
Edwards Creative Learning Center,Education
High Stop Wireless,Retail
Delille Oxygen,Retail
InnoSource Headquarters,Office
Rooks Tavern,Retail
101 Mobility,Retail
Wasserstrom Restaurant Supply SuperStore,Retail
IbnuTaymiyah Masjid and Islamic Center,Public Places
Smith Brothers Heating/Cooling,Retail
The Reserve Network,Retail
Sherwin,Retail
Westmoor Middle School,Education
Rosemont Center School,Education
Dr. Steven England DDS,Medical
Mercury Machine & MFG Co,Industrial
Cliffside Sports Bar,Retail
P R Signs & Service,Retail
Triad Lounge,Retail
The Kitchen,Retail
National Check Cashers,Retail
United Dairy Farmers,Retail
Marathon,Retail
CSC Worldwide,Industrial
Byers Outlet,Retail
Sport Clips,Retail
Righno Men's Clothing,Retail
Columbus Logistics Center,Industrial
Monro Muffler,Retail
Obstetrics and Gynecology,Medical
Fisher Road Booster Station,Industrial
Franklin County Landfill,Industrial
Mt Calvary Cemetery,Public Places
Iglesia de Dios Pentecostal Getsemani,Public Places
Skyline Chili,Retail
Faith Mission,Group Quarters
Pitt,Industrial
InTown Suites Extended Stay Living,Retail
U.S. Dental Care,Medical
Tru,Industrial
Brooks & Wade Auto Works,Retail
Best Buy,Retail
Batteries Plus Bulbs,Retail
Bob Evans,Retail
AT&T,Retail
P&W Roofing Supplies,Retail
Costco,Retail
Complete Alterations,Retail
Claremont Retirement Village,Group Quarters
CWA Local 4501,Office
Assured Glass Service,Retail
Hayden Run Internal Medicine,Medical
Residential Safety Services,Office
Livingston United Methodist Church,Public Places
Arby's,Retail
Connie's Beauty & Tanning,Retail
Little This Little That,Office
Distinctive Lawn And Landscape,Retail
Woodlands At Eastland,Group Quarters
Service Express,Office
Lacoste,Retail
Truco Construction,Office
Anheuser,Office
Hyde Park Steakhouse,Retail
Hittle House,Medical
PetSmart,Retail
H2O Entertainment Group,Office
Yoga Happiness Studio,Retail
Boost Mobile,Retail
Dr. Mary Beth Butcher,Medical
Mecca International Market,Retail
Hubbard Mastery School,Education
Jasmin Market,Retail
Grini's Salon,Retail
Dollar General,Retail
CVS,Retail
Old Navy,Retail
Budget Car Rental,Retail
Barclay Pipe Tobacco & Cigar,Retail
Victory Packaging,Industrial
Cafe Bourbon Street,Retail
Plaza Grocery and Meat,Retail
Spillman Company,Industrial
Car Audio Solutions,Retail
V Power Yoga,Retail
St. Joseph Cathedral,Public Places
Steak 'n Shake,Retail
Diamond Cellar,Retail
Mansion Day Elementary,Education
Worthington Building,Group Quarters
St. Ladislas Church,Public Places
Bennett Insurance,Office
Columbus Italian Club,Retail
Cottage of Tailoring,Retail
Sigma Phi Epsilon,Group Quarters
Union Savings Bank,Office
Crystal Remembrance For Pets,Retail
Pasta Village Italian,Retail
Flip Side Easton,Retail
Wendy's,Retail
City of Columbus Jerry Hammond Center,Government
Independent Taxicab,Retail
Bridgeway Academy,Education
Skyline Chili,Retail
Mitchell's Steakhouse,Retail
Speedway,Retail
Retail Data Systems,Office
GROWL!,Retail
Central Point Pawn Shop,Retail
Yellow Brick Pizza,Retail
Janie and Jack,Retail
Computer Fun,Retail
The Church Next Door,Public Places
ADD,Industrial
AT&T Midwest Construction,Office
Mother's Helper,Education
Sherwin,Retail
Temper Tech,Retail
Kappa Kappa Gamma,Group Quarters
Bleu & Fig Venues & Event Spaces,Retail
Evideo Productions,Retail
Gudenkauf Corporation,Retail
Capital City Gardens Rehabilitation and Nursing Center,Group Quarters
Kaye Brothers Carpentry,Retail
Clintonville Auto Detailing & Hand Car Wash,Retail
Metro PCS,Retail
Worthington Automotive Auto Repair,Retail
Super Wash,Retail
Oakley Store,Retail
Rally's,Retail
Magnum Products,Industrial
Public Storage,Retail
Fine Food Market,Retail
Tork,Industrial
Traffic Maintenance Operations Shop & Offices,Government
Murphy Thomas Foundation,Medical
Scholars House West,Group Quarters
World Market,Retail
Mickey's,Retail
Brisk Heat Thermal Corp,Office
Bethel Olentangy Psychological Services,Medical
FRS Restoration,Office
Columbus Gasket and Supply Company,Industrial
Joseph's Coat of Central Ohio,Office
Rendezvous Lounge,Retail
Arby's,Retail
Head,Office
Food Service Production Center,Industrial
SE Corner of Lafayette & 3rd Lot,Transportation
American Image Hair & Nail,Retail
Kroger,Retail
Haydocy Buick GMC,Retail
PNC Bank,Office
Giant Eagle,Retail
Fashion City,Retail
Charming Charlie,Retail
Bath & Body Works,Retail
Hot Chicken Takeover,Retail
Field & Stream,Retail
CycleBar,Retail
COTA Spring Street Terminal,Transportation
REI,Retail
Horizon Science Academy High School,Education
Seabolt & Co,Office
FedEx Office Print & Ship Center,Retail
Columbus Police Substation 13,Emergency Response
Cleveland Ave Body Shop,Retail
Mac's Scottish Pub,Retail
Orthopedic ONE ,Medical
Ashland,Industrial
SEA Limited,Industrial
Buckeye Ready Mix,Industrial
KIPP Columbus Primary,Education
Valvoline Instant Oil Change,Retail
Tra,Retail
Scott House,Group Quarters
Chemical and Biomolecular Engineering and Chemistry Building,Education
Curry Up Indian Grill,Retail
Madison Hall,Education
Telephone Information Center,Education
Lumber Liquidators,Retail
Hatcher & Associates,Office
Self Storage,Retail
Nail Styling Salon,Retail
Helen's Bar & Grill,Retail
Panera Bread,Retail
Central Ohio Engine Rebuilders,Retail
Refrigeration Systems,Retail
Fiesta Salons,Retail
Accent Glass & Aluminum,Retail
Gatto's Pizza,Retail
Refuse Collection ,Government
Columbus Realty Source,Office
Greater Columbus Otolaryngology,Medical
Mendezmotorsports,Retail
Budget Mattress Outlet,Retail
Big Mama's Playhouse Too,Education
Taco Bell,Retail
Chapin's Auto Services,Retail
Bellagio Nails,Retail
Manhattan Mortgage Group,Office
Thomas S Baker Jr,Office
Eagle Supermarket,Retail
Distribution Resources,Office
Belles Bread,Retail
Grainger Industrial Supply,Industrial
Wendy's,Retail
Defabco,Retail
Ethiopian Orthodox Tewahedo Church,Public Places
Bar Louie,Retail
Unity Temple Church of God in Christ,Public Places
Micro Center Distribution Center,Industrial
My Friends Bar,Retail
Columbus Podiatry & Surgery,Medical
12,Transportation
Ohio State School for the Blind,Education
W. W. Williams: Columbus Carrier,Retail
Parker Tube Fittings Division,Industrial
Verizon Wireless,Retail
American Home Health,Medical
Faith Community Wesleyan Church,Public Places
Advantage Tank Line,Transportation
Agricultural Engineering Building,Education
Postle Hall,Education
SC Wash and Tan,Retail
Correct Services Auto Repair,Retail
Merrelli Yoga,Retail
"Albert W. Scovern, PHD",Medical
IH Schlezinger,Office
Inner City Ministries,Public Places
Ye Asian Bistro,Retail
Kroger,Retail
H Johnson Bar,Retail
Sammy's Mobile Clean,Retail
Family Market,Retail
Off,Education
Papa John's Pizza,Retail
Parker Food Science and Technology Building,Education
Campus Shop,Education
Orange Theory Fitness,Retail
Pets Without Parents,Retail
GetGo,Retail
Minute Plus,Retail
31,Retail
Ready Rider Auto Sales,Retail
The Hair Designers,Retail
Child Care Consultants,Medical
Carter's,Retail
Cycle614,Retail
The Goddard School,Education
Swift Tax Refunds,Retail
Trading Phrases,Office
High Five Carryout,Retail
CVS,Retail
Longview Barber Shop,Retail
CSCC Business Office,Education
Supreme Auto Sales,Retail
National Childcare Center,Education
VAT,Industrial
Jubba Day Care,Education
Mitchell's Steakhouse,Retail
Wasserstrom Columbus Distribution Center,Industrial
A B C Remodeling,Retail
Columbus Metropolitan Library ,Public Places
Ultimate Sports Center,Retail
Compel Christian Center,Public Places
Baker Hall,Group Quarters
Bodystain Tattoo,Retail
Ohio Surgery Center,Medical
First Ohio Planning,Office
Columbus Appliance & Parts,Retail
South High School,Education
David Ohle OD,Medical
Pizza Hut,Retail
Heartland Petroleum,Industrial
Buckeye Karaoke,Retail
Anderson Concrete,Industrial
Bay Insulation Supply,Retail
Kimball Midwest,Office
Jackson Hewitt Tax Service,Retail
Atlas Butler Heating & Cooling,Retail
Tim Hortons,Retail
The Good Shepherd Baptist Church,Public Places
TMB,Retail
Walmart Supercenter,Retail
Covenant Baptist Church,Public Places
Designer Memorials,Retail
Jiffy Lube,Retail
Grismer Tire & Auto Service Center,Retail
Univeral Intermodal Service,Office
BP,Retail
Budget Carpet & Flooring,Retail
9,Transportation
Advance Auto Parts,Retail
American Learning Center,Education
Walmart Supercenter,Retail
Old Bulk Intermodal Transload Facility,Industrial
West Broad Medical Center,Medical
Abramson & O'Connell,Office
Simba II Barbershop,Retail
Top Notch Vapor,Retail
Provost Academy Ohio,Education
India Oak Grill,Retail
Sms Sheet Metal Shop,Office
Titus Graphic Art,Office
Ravari Room,Retail
US Post Office,Government
Helpful Hands Children's Center,Education
Famous Supply,Retail
Mattress Mart,Retail
For Your Nails Only,Retail
MWE,Industrial
DMV ,Government
LoanMax Title Loans,Retail
The Art of Yoga,Retail
K C Sports,Retail
Stepping Stones Daycare Center,Education
Harrop Industries,Industrial
Carpet One,Retail
Sababa Mediterranean Grill,Retail
LoanMax Title Loans,Retail
St. Philip  Episcopal Church,Public Places
Controguerra & Associates,Office
Linden Lutheran Church,Public Places
B J's Market,Retail
First Community Church,Public Places
AAMCO Transmissions,Retail
Prime Home Care,Medical
Cantley's Auto Parts,Retail
Snyder Development,Retail
Speedway,Retail
Karl Road Christian Church,Public Places
U.S. Hydraulic Services,Industrial
AAMCO Transmissions,Retail
Olde Towne Flowers & Gifts,Retail
Columbus Commons Underground Garage,Transportation
Coney Island Fresh Fish House,Retail
New Shiloh Full Gospel Missionary Baptist Church,Public Places
Chipotle Mexican Grill,Retail
Web Solutions Graphic Design,Office
German Village Music Haus,Retail
Inspiration Metro Salon,Retail
Raymond Memorial Golf Course,Public Places
Boost Mobile,Retail
Lanz Printing Company,Retail
Pass Community School,Education
US Tank Alliance Environmental Program,Office
A Touch of Irish Hair Studio,Retail
Luc’s Asian Market Groceries,Retail
Myers Machinery Movers,Industrial
Good Vibe Party House,Retail
Bossy Grrl's Pin Up Joint Bar,Retail
Brioso Roastery & Coffee Bar,Retail
Off,Education
Galaxy Games & Golf,Retail
Mount Carmel East Hospital,Medical
Another Level Beauty Salon,Retail
New Day Painting & Healing Environments,Retail
Raab Surveying,Retail
Global Smiles Orthodontics,Medical
Discount Fashion Warehouse,Retail
Smith Laboratory,Education
US Post Office,Government
Oreck Store,Retail
The Book Loft of German Village,Retail
Emperical Coffee House & Baked Goods,Retail
North Islamic School,Education
College Car Company,Retail
Telos Field Engineering,Office
Wendy's,Retail
Prestige Cuts & Styles,Retail
World Market,Retail
Blaze Pizza,Retail
WesBanco,Office
U,Retail
Lithko Restoration,Retail
Dolphin Beach Tan,Retail
Hilltop Worship Center,Public Places
Office Max,Retail
Worthington Laundry & Dry Cleaner,Retail
Street Maintenance Operations ,Government
Minelli's Pizza,Retail
Crazzy Greek Restaurant,Retail
Agricultural Administration Building,Education
A & R Complete Tax Service,Retail
Mc Alisters Deli,Retail
Asian Massage,Retail
Moo Moo Car Wash,Retail
Old Navy,Retail
Restoration Resources,Retail
Able Printing Company,Retail
Clintonville Woman's Club,Public Places
New Beginnings Academy,Education
The Nutrition X,Retail
Evolved Vapors Electronic Cigarettes,Retail
Game Stop,Retail
Mid Ohio Eye Center,Medical
TiITLE Boxing Club,Retail
Mid,Retail
Revolution Cycles,Retail
OhioHealth Sleep Services,Medical
Southeast Christian Academy,Public Places
Sagle's Automotive Paints,Retail
Rodier Law Offices,Office
Evergreen Cemetery,Public Places
Parsons Avenue Merchants Association,Office
Scrambler Marie's,Retail
The Research Institute,Medical
Newbridge Math & Reading Preparatory Academy,Education
Lazelle Road Water Tanks,Industrial
Mass & Khady Professional African Hair Braiding,Retail
VIP Refrigeration Heating & A/C,Retail
Campbell Hall,Education
Mt Vernon Quick Stop,Retail
Meredith Brothers,Retail
Winking Lizard Tavern,Retail
The Main Bar,Retail
Grange Insurance Claims,Office
Joyce Market,Retail
Reformation Lutheran Church,Public Places
Babies R Us,Retail
Famous Footwear,Retail
Mediation Service of Ohio,Retail
CrossFit Clintonville,Retail
Mikado Japanese Steakhouse,Retail
Fresh Start Learning Academy,Education
Holy Trinity Etheopian Orthodox,Public Places
United Dairy Farmers,Retail
Josephinium College,Education
Columbus Col Weld Corporation,Office
Dr. John S. Kim,Medical
The Cleary Company,Office
Furniture Land Ohio,Retail
US Post Office,Government
Woodcrest Elementary School,Education
Amvets Post 1928 with Canteen,Public Places
Starbucks,Retail
Mackenco,Office
Destination Auto Group,Retail
Angel's Carryout,Retail
IT Consulting and Solutions for Central Ohio,Office
Berta's Lawn services,Retail
Church Of The Good Shepherd United Methodist,Public Places
Prim Cleaning Services,Retail
Detiffanise Beauty Salon,Retail
Sunoco,Retail
Sunoco,Retail
Solutions Staffing,Retail
Subway,Retail
Olive Garden,Retail
Emmanuel Community Baptist Church,Public Places
Direct Resource,Office
NCA's Auto Care,Retail
Dairy Queen,Retail
Lev's Pawn Shop,Retail
American Scientific,Industrial
Agler & Sunbury Self Storage,Retail
Fry Hall,Education
Ollie's Bargain Outlet,Retail
Security First,Office
Edison Equipment,Retail
Waxxpot,Retail
Grace Group Automotive,Retail
Pizza Hut,Retail
Computer Savers,Retail
Courtyard Columbus Downtown,Retail
Maryod Machine,Industrial
Headies Hideout,Retail
Ocean Providence,Retail
Irie Jamerican Cuisine,Retail
Quality Box & Pack,Retail
Speedway,Retail
Valvoline Instant Oil Change,Retail
Sterling Oil Portraits,Office
USA Today,Office
Buybuy Baby,Retail
Banana Republic,Retail
New Life United Methodist Church,Public Places
Columbus Day Care Center,Education
E,Retail
Circle K,Retail
Southwest Greens of Ohio,Office
Just For Today,Office
Sam Shamansky Legal Services,Office
Royal Ginger Asian Fusion Bistro,Retail
Chipotle Mexican Grill,Retail
Wingstop,Retail
UNICON International,Retail
ContactLet's Talk Wallick Communities,Office
WCBE Radio 90.5,Office
Great Clips,Retail
Calvary Tremont Baptist Church,Public Places
Parsons Super Laundry,Retail
Advance Auto Parts,Retail
American Stroke Association,Medical
Big Lots,Retail
A J Asphalt,Retail
The O Patio & Pub,Retail
Canabar,Retail
Army National Guard Recruiter,Government
Comfort Suites,Retail
Barneys Body Shop,Retail
Beaumont Metal Works,Retail
Marketing Results,Retail
Black & Beautiful African Braiiding,Retail
Mama Mimis,Retail
Federal Courthouse,Government
Columbus Torah Academy,Education
John N Schilling,Retail
UniversiTees,Retail
Templo Cristiano Emanuel,Public Places
US Post Office,Government
Moses One Stop Shop,Retail
Affordable Quality Auto Repair,Retail
Alpha & Omega Building Services,Retail
Columbus Developmental Center,Medical
Trusted Motors,Retail
H2O Pool Supply,Retail
Magnolia Thunderpussy,Retail
New Jerusalem MBC,Public Places
Lot U,Transportation
J & J Services,Retail
Starbucks,Retail
James Jackson Inc CPA,Office
Capital High School,Education
Wet Audio & Accessories,Retail
Franklin University Bookstore,Education
Mickes Quality Machining,Office
LoanMax Title Loans,Retail
Mount Carmel ,Medical
Economy Linen & Towel Services,Retail
Warehouse Energy Power,Retail
Air Force Recruiter,Government
Roberts Road Car Wash,Retail
Speedway,Retail
Marathon,Retail
El Campanario,Retail
Mid Atlantic Logistics Unlimited,Office
Personal Affects All Natural Hair Salon,Retail
Carved Comfort Sandwiches,Retail
Clintonville General Dentistry,Medical
Sbarro,Retail
Parsons Avenue Medical Center,Medical
AMC Movie Theater,Public Places
Appleby Automotive Group,Retail
Mt Calvary Holy Church,Public Places
PRA Seut Sack Asian American Market,Retail
Paule Akid Hair Braiding & Beauty Supply,Retail
Wireless World,Retail
Plymer Plastering,Retail
Fifth Third Bank,Office
Taylor Daniel Dentist,Medical
Executive Mailing Solutions,Industrial
Combs Collision,Retail
"Hill & Smith, V&S Galvanizing",Retail
JRP Capital Corporation,Office
Atlas Automotive & Transmission,Retail
William Werkhaven & Son,Retail
First Watch,Retail
Lincoln Tavern,Retail
Holiday Inn Express & Suites,Retail
The McCandlish Group,Office
Skyline Chili,Retail
City Nails,Retail
Healthy Pets of Rome Hilliard,Medical
Mull & Weithman Architects,Office
Martin's Upholstering,Retail
Rinkov Eyecare Center,Medical
The Lords Table Ministries,Public Places
Starbucks,Retail
Ohio Department of Taxation,Government
Hippie Hut Guitars & Things,Retail
Medcorp Ambulance Service,Medical
SafeAuto,Office
Best Tires and Car Services,Retail
VFW Post 4931,Public Places
Scioto Services,Office
The Plant Man,Retail
Wendy's,Retail
BTMC,Industrial
Balanced Family Academy,Education
Advance America Cash Advance,Retail
Westgate Wireless,Retail
Hong Massage,Retail
On The Rocks Bar and Grill,Retail
Liberty Elementary School,Education
Valters at Maennerchor,Retail
Advance Industrial Manufacturing,Industrial
Super Deals Automotive,Retail
International Auto Parts Store,Retail
A Auto Repair,Retail
Patio & Hearth Shoppe,Retail
Haydar LLC,Retail
Metro PCS,Retail
Consolidated Electrical Distributors,Retail
Kafe Kerouac,Retail
Hague Cellular,Retail
Bob Evans,Retail
Mt Zion Church of God in Christ,Public Places
H & R Block,Retail
New World Recycling,Retail
Newlook Sidings,Retail
Familyography,Retail
Mercedes Benz Parts and Service,Retail
Hamilton STEM Academy,Education
Family Dollar,Retail
Speedway,Retail
Buckeye Middle School,Education
Buckeye Pawn Shop,Retail
Raising Cane's,Retail
Unit 70 Studios,Retail
Doggie Daycare Center,Retail
Cantina Laredo,Retail
Burger King,Retail
St. James the Less St Vincent,Public Places
Byrne's Pub,Retail
Preferred Living,Office
ODA Wellness Trust,Office
Goodale Auto Truck Parts,Retail
West Broad Carryout,Retail
Jolly Tots Too,Education
For Paws Grooming & Boarding,Retail
Game On,Retail
Lucky Shoes Easton,Retail
CS Hair Systems,Retail
Tuesday Morning,Retail
Integrity Cycles,Retail
315 Auto Sales,Retail
Central Ohio Childcare,Education
Electric Power and Design,Office
Sherwin,Retail
The Three Legged Mare,Retail
National Personal Training Institute,Education
Rudedog Bar & Grill,Retail
Korman Construction,Office
Elements Massage,Medical
CrossFit Scioto,Retail
Simon Roofing,Retail
WholeKids Pediatrics & Yoga,Medical
reTAGit,Retail
Hajabin Auto Sales and Service,Retail
Worthington Woods Animal Center,Medical
Integrated Communications,Office
Yorktown Middle School,Education
Ohio Department of Rehab,Government
Sculptured Hair Design,Retail
Johnny B Goods,Retail
Columbus Children's Theatre,Public Places
Mountain Assembly of God,Public Places
Balanced Yoga,Retail
The Thurman Cafe,Retail
Bright Minds Daycare,Education
Spoonful Record,Retail
No Place Like Home of Columbus,Education
Wheels To Go Auto Dealer,Retail
Arcelor Mittal,Retail
US Post Office,Government
Global Mortgage,Retail
McDonald's,Retail
Morse/Hamilton Road Booster Station,Industrial
Pathways Financial Credit Union,Office
Beechwold Hardware,Retail
Sam's Food Market,Retail
Buckeye Power,Industrial
Guizar Auto Repair,Retail
"Jay E. Michael, Attorney",Office
Alzheimer's Association,Office
Lafarge North America,Retail
Vine St Lot,Transportation
SX Building,Education
Franklin County Clerk of Court,Government
Waffle House,Retail
The Law Office of Tom Somos,Office
Chase Bank,Office
Diversco Building Services,Retail
Expert Office Furniture & Design,Retail
In Style Beauty Salon,Retail
Resource Employment Solutions,Retail
Nail Tech,Retail
Howdy's Deli,Retail
Fifth Third Bank,Office
Russell E Lamm Law Office,Office
1,Transportation
Kids Foot Locker,Retail
The Redirections Group,Office
Park Street Patio,Retail
Magnuson Grand Columbus North,Retail
Nefertiti Threading & Beauty Salon,Retail
Mifflin Middle School,Education
Arena Produce,Retail
Carline Auto Sales,Retail
Key Bank,Office
iResolve Fitness Club,Retail
Phi Delta Theta,Group Quarters
God & Saints Christ Church,Public Places
Jared The Galleria of Jewelry,Retail
2 The Salon,Retail
Ramson's Imports,Retail
Certified Oil,Retail
C B Beveragae Group,Retail
Junior League of Columbus,Office
Memorial Baptist Church,Public Places
Dublin Taxi,Transportation
Slate Hill Elementary,Education
Dairy Queen,Retail
Buckeye Pride Car Wash,Retail
Hampton Inn & Suites,Retail
Greater Columbus Regional Dialysis,Medical
Eakin Elementary School,Education
One More Time .,Retail
Dynamic Repair Solutions,Retail
The Lamp Shade,Retail
The Hubbard Garage,Transportation
Navis Pack and Ship,Retail
Somali Education & Resource Center,Education
Metro PCS,Retail
Buckeye Video Game Connection,Retail
Riverside Electric,Retail
Roma African Hair Braiding,Retail
Lids Sports Group,Retail
Wolf Composite Solutions,Industrial
Cental Ohio Community Improvement Corporation,Office
ODW Logistics,Industrial
South Lincoln Tower Lot,Transportation
Columbus Lace Dry Cleaning,Retail
Simple Wireless,Retail
Lamb of God Lutheran Church,Public Places
Northside Montessori School,Education
Donatos Pizza,Retail
Fahlgren Mortine,Office
Next Level Skate Shop,Retail
MetaMateria,Office
American Girl,Retail
Columbus Ghanaian Seventh Day Adventist Church,Public Places
Columbus Siding & Roofing,Retail
Columbus Rug Outlet,Retail
Play It Trade It,Retail
Midwest Express,Transportation
KinderCare,Education
Zipf Lock Company,Retail
Christian Assembly,Public Places
Red Roof Plus,Retail
Expert Diesel Repair,Retail
Alum Crest High School,Education
O'Sheckys Live Bar & Restaurant,Retail
American Family Insurance,Office
United Way of Central Ohio,Office
Franklin University International Institute for Innovative Instruction,Education
Secret Vessel Restaurant,Retail
Speedway,Retail
Five Below,Retail
Galli Brothers Concrete,Retail
Adobe Gilas,Retail
Accent On Nature,Retail
New Genesis Baptist Church,Public Places
Taylor Bookkeeping Service,Office
EMF Telecom,Office
Our Lady of Bethlehem School and Childcare,Education
Columbus Fire Station 15,Emergency Response
National Board of Boiler,Industrial
Huntington Bank,Office
McLean's Hauling & Recycling,Retail
The Institute of Divine Metaphysical Research,Public Places
Apostolic Holy Temple,Public Places
Real Music Records,Retail
Cass Logistics,Office
Beverage Warehouse,Retail
Shad Used Tires,Retail
Bethel United Methodist Church,Public Places
Hutchison Media Consultants,Office
Massage Envy,Retail
Comtech,Office
Universal Radio,Retail
Gold's Gym Express,Retail
Cup O Joe,Retail
Marshalls,Retail
Green Floral Design Studio,Retail
